Date,Event,Source,URL
12/31/19,Chinese Health officials inform the WHO about a cluster of 41 patients with a mysterious pneumonia. Most are connected to Huanan Seafood Wholesale Market.,Business Insider,https://www.businessinsider.com/coronavirus-pandemic-timeline-history-major-events-2020-3
1/1/20,Huanan Seafood Wholesale Market closes.,Business Insider,https://www.businessinsider.com/coronavirus-pandemic-timeline-history-major-events-2020-3
1/7/20,Chinese authorities identify a new type of coronavirus (called novel coronavirus or nCoV).,Business Insider,https://www.businessinsider.com/coronavirus-pandemic-timeline-history-major-events-2020-3
1/11/20,China records its first death.,Business Insider,https://www.businessinsider.com/coronavirus-pandemic-timeline-history-major-events-2020-3
1/13/20,First coronavirus case outside of China is reported in Thailand.,Business Insider,https://www.businessinsider.com/coronavirus-pandemic-timeline-history-major-events-2020-3
1/20/20,"First US case is reported: a 35-year-old man in Snohomish County, Washington.",Business Insider,https://www.businessinsider.com/coronavirus-pandemic-timeline-history-major-events-2020-3
1/23/20,"Wuhan is placed under quarantine, Hubei province follows within days.",Business Insider,https://www.businessinsider.com/coronavirus-pandemic-timeline-history-major-events-2020-3
1/30/20,WHO declares a global public-health emergency.,Business Insider,https://www.businessinsider.com/coronavirus-pandemic-timeline-history-major-events-2020-3
1/31/20,President Trump bans foreign nationals from entering the US if they were in China within the prior two weeks.,Business Insider,https://www.businessinsider.com/coronavirus-pandemic-timeline-history-major-events-2020-3
2/2/20,First death outside China is recorded in the Philippines.,Business Insider,https://www.businessinsider.com/coronavirus-pandemic-timeline-history-major-events-2020-3
2/7/20,Chinese whistleblower Li Wenliang dies.,Business Insider,https://www.businessinsider.com/coronavirus-pandemic-timeline-history-major-events-2020-3
2/8/20,US citizen dies in Wuhan – first death of an American citizen.,Business Insider,https://www.businessinsider.com/coronavirus-pandemic-timeline-history-major-events-2020-3
2/9/20,"Death toll in China surpasses that of the 2002-2003 SARS epidemic, with 811 deaths recorded.",Business Insider,https://www.businessinsider.com/coronavirus-pandemic-timeline-history-major-events-2020-3
2/11/20,"WHO announces that the new coronavirus disease will be called ""COVID-19.""",Business Insider,https://www.businessinsider.com/coronavirus-pandemic-timeline-history-major-events-2020-3
2/12/20,Coronavirus cases start to spike in South Korea.,Business Insider,https://www.businessinsider.com/coronavirus-pandemic-timeline-history-major-events-2020-3
2/19/20,Iran outbreak begins.,Business Insider,https://www.businessinsider.com/coronavirus-pandemic-timeline-history-major-events-2020-3
2/21/20,Italy outbreak begins.,Business Insider,https://www.businessinsider.com/coronavirus-pandemic-timeline-history-major-events-2020-3
2/29/20,US reports first death on American soil.,Business Insider,https://www.businessinsider.com/coronavirus-pandemic-timeline-history-major-events-2020-3
3/3/20,"Coronavirus cases begin to sharply increase in Spain, marking the start of its outbreak.",Business Insider,https://www.businessinsider.com/coronavirus-pandemic-timeline-history-major-events-2020-3
3/8/20,Italy places all 60 million residents on lockdown.,Business Insider,https://www.businessinsider.com/coronavirus-pandemic-timeline-history-major-events-2020-3
3/11/20,WHO declared the outbreak a pandemic.,Business Insider,https://www.businessinsider.com/coronavirus-pandemic-timeline-history-major-events-2020-3
3/11/20,President Trump bans all travel from 26 European countries.,Business Insider,https://www.businessinsider.com/coronavirus-pandemic-timeline-history-major-events-2020-3
3/13/20,A US national emergency is declared over the novel coronavirus outbreak.,Business Insider,https://www.businessinsider.com/coronavirus-pandemic-timeline-history-major-events-2020-3
3/17/20,"A leaked federal plan warns the new coronavirus pandemic ""will last 18 months or longer"" and may come in ""multiple waves"" of infections.",Business Insider,https://www.businessinsider.com/coronavirus-pandemic-timeline-history-major-events-2020-3
3/17/20,"Italy reports 475 COVID-19 deaths, the highest single-day death toll for any country since the outbreak began.",Business Insider,https://www.businessinsider.com/coronavirus-pandemic-timeline-history-major-events-2020-3
3/19/20,China reports no new locally spread infections for the first time since the pandemic began.,Business Insider,https://www.businessinsider.com/coronavirus-pandemic-timeline-history-major-events-2020-3
3/19/20,"Globally, authorities report more than 240,000 confirmed cases of COVID-19, with about 145,000 being active and ongoing cases, roughly 85,000 recoveries, and 10,000 deaths.",Business Insider,https://www.businessinsider.com/coronavirus-pandemic-timeline-history-major-events-2020-3
3/19/20,Nearly all US states declare a state of emergency.,Business Insider,https://www.businessinsider.com/coronavirus-pandemic-timeline-history-major-events-2020-3
3/20/20,Italy reports the two highest single-day death tolls for any country: 627 on March 20 and 793 on March 21.,Business Insider,https://www.businessinsider.com/coronavirus-pandemic-timeline-history-major-events-2020-3
3/22/20,About 1 in 3 Americans are under lockdown as 12 states issue stay-at-home orders.,Business Insider,https://www.businessinsider.com/coronavirus-pandemic-timeline-history-major-events-2020-3
3/23/20,"New York City confirms 21,000 cases, making it the biggest epicenter of the outbreak in the US.",Business Insider,https://www.businessinsider.com/coronavirus-pandemic-timeline-history-major-events-2020-3
3/24/20,"Globally, authorities report more than 375,000 confirmed cases of COVID-19, with about 258,000 being active and ongoing cases, roughly 101,000 recoveries, and 16,370 deaths.",Business Insider,https://www.businessinsider.com/coronavirus-pandemic-timeline-history-major-events-2020-3
3/26/20,Roughly 1 in 2 Americans go on lockdown as 22 states issue stay-at-home orders.,Business Insider,https://www.businessinsider.com/coronavirus-pandemic-timeline-history-major-events-2020-3
3/26/20,"Total confirmed cases in the US reach 82,404 — the highest in the world — surpassing China's 81,782 and Italy's 80,589.",Business Insider,https://www.businessinsider.com/coronavirus-pandemic-timeline-history-major-events-2020-3
3/26/20,"Globally, authorities report more than 558,500 confirmed cases of COVID-19, with about 431,000 being active and ongoing cases, roughly 128,000 recoveries, and 25,251 deaths.",Business Insider,https://www.businessinsider.com/coronavirus-pandemic-timeline-history-major-events-2020-3
3/27/20,Italy reports the highest single-day death toll for any country: 919.,Business Insider,https://www.businessinsider.com/coronavirus-pandemic-timeline-history-major-events-2020-3
3/27/20,President Donald Trump signed into law Friday afternoon a historic $2 trillion stimulus package as the American public and the US economy fight the devastating spread of Covid-19.,CNN,https://www.cnn.com/2020/03/27/politics/coronavirus-stimulus-house-vote/index.html
3/31/20,More than 1/3 of humanity is under some form of lockdown.,Business Insider,https://www.businessinsider.com/coronavirus-pandemic-timeline-history-major-events-2020-3
3/31/20,"Roughly 80% of all Americans are under lockdown, as 35 states issue stay-at-home orders.",Business Insider,https://www.businessinsider.com/coronavirus-pandemic-timeline-history-major-events-2020-3
4/1/20,"Globally, authorities report almost 922,000 confirmed cases of COVID-19, with about 656,000 being active and ongoing cases, roughly 193,000 recoveries, and 46,000 deaths.",Business Insider,https://www.businessinsider.com/coronavirus-pandemic-timeline-history-major-events-2020-3
4/2/20,The world passes 1 million COVID-19 infections.,Business Insider,https://www.businessinsider.com/coronavirus-pandemic-timeline-history-major-events-2020-3
4/2/20,Spain reports the highest single-day death toll for any country: 950.,Business Insider,https://www.businessinsider.com/coronavirus-pandemic-timeline-history-major-events-2020-3
4/7/20,"Roughly 95% of all Americans are under lockdown, as 42 states issue stay-at-home orders.",Business Insider,https://www.businessinsider.com/coronavirus-pandemic-timeline-history-major-events-2020-3
4/7/20,"US reports the highest single-day death toll for any country: more than 1,900.",Business Insider,https://www.businessinsider.com/coronavirus-pandemic-timeline-history-major-events-2020-3
4/7/20,"Globally, authorities report roughly 1.37 million confirmed cases of COVID-19, with about 1 million being active and ongoing cases, roughly 300,000 recoveries, and 76,500 deaths.",Business Insider,https://www.businessinsider.com/coronavirus-pandemic-timeline-history-major-events-2020-3
4/10/20,"The global death toll surpasses 100,000.",Business Insider,https://www.businessinsider.com/coronavirus-pandemic-timeline-history-major-events-2020-3
4/10/20,"Globally, authorities report roughly 1.67 million confirmed cases of COVID-19, with about 1.2 million being active and ongoing cases, roughly 370,000 recoveries, and 101,700 deaths.",Business Insider,https://www.businessinsider.com/coronavirus-pandemic-timeline-history-major-events-2020-3
4/11/20,The number of Americans that filed for unemployment since mid-March hits 22 million.,Business Insider,https://www.businessinsider.com/coronavirus-pandemic-timeline-history-major-events-2020-3
4/11/20,The Internal Revenue Service sent out the first wave of stimulus checks to Americans on Saturday.,CNN,https://www.cnn.com/2020/04/11/politics/irs-coronavirus-stimulus-check-deposit/index.html
4/12/20,President Donald Trump orders a halt on $400 million in funding for WHO.,Business Insider,https://www.businessinsider.com/coronavirus-pandemic-timeline-history-major-events-2020-3
4/15/20,The number of global COVID-19 cases surpasses 2 million.,Business Insider,https://www.businessinsider.com/coronavirus-pandemic-timeline-history-major-events-2020-3
4/16/20,"Globally, authorities report roughly 2.1 million confirmed cases of COVID-19, with about 1.2 million being active and ongoing cases, roughly 530,000 recoveries, and 140,000 deaths.",Business Insider,https://www.businessinsider.com/coronavirus-pandemic-timeline-history-major-events-2020-3
4/20/20,"US protesters hold anti-lockdown rallies linked to the Trump administration, despite the executive branch's official guidance to practice social distancing.",Business Insider,https://www.businessinsider.com/coronavirus-pandemic-timeline-history-major-events-2020-3
4/21/20,A person in California was found to have died from COVID-19 on Feb. 6 — three weeks earlier than what authorities figured was the first American pandemic death.,Business Insider,https://www.businessinsider.com/coronavirus-pandemic-timeline-history-major-events-2020-3
4/22/20,"US reports the highest single-day death toll for any country: more than 2,600.",Business Insider,https://www.businessinsider.com/coronavirus-pandemic-timeline-history-major-events-2020-3
4/23/20,"Globally, authorities report roughly 2.7 million confirmed cases of COVID-19, with about 1.8 million being active and ongoing cases, roughly 730,000 recoveries, and 187,000 deaths.",Business Insider,https://www.businessinsider.com/coronavirus-pandemic-timeline-history-major-events-2020-3
4/23/20,"The US Congressional Budget Office says that it expects the federal budget deficit to hit $3.7 trillion for the 2020 fiscal year. In a new round of forecasts that officials cautioned were highly uncertain amid the coronavirus pandemic, the budget office said it expected the economy to shrink by 5.6 percent over the course of this year, ending 2020 with an unemployment rate of nearly 12 percent.",New York Times,https://www.nytimes.com/2020/04/24/business/stock-market-live-coronavirus.html
4/27/20,"White House rolls out roadmap for daily diagnostic testing, which calls for testing far lower than independent reopening plans.",Business Insider,https://www.businessinsider.com/coronavirus-pandemic-timeline-history-major-events-2020-3
5/1/20,"Globally, authorities report roughly 3.3 million confirmed cases of COVID-19, with about 1.2 million being active and ongoing cases, roughly 1 million recoveries, and 234,000 deaths.",Business Insider,https://www.businessinsider.com/coronavirus-pandemic-timeline-history-major-events-2020-3
5/3/20,"US reports the highest single-day death toll for any country: more than 2,900.",Business Insider,https://www.businessinsider.com/coronavirus-pandemic-timeline-history-major-events-2020-3
5/11/20,"Several countries, such as Spain, Iran, Italy, Denmark, Israel, Germany, New Zealand, and Thailand, have begun to ease their lockdown restrictions.",Business Insider,https://www.businessinsider.com/coronavirus-pandemic-timeline-history-major-events-2020-3
5/11/20,"Globally, authorities report roughly 4.1 million confirmed cases of COVID-19, with about 2.4 million being active and ongoing cases, roughly 1.4 million recoveries, and 284,000 deaths.",Business Insider,https://www.businessinsider.com/coronavirus-pandemic-timeline-history-major-events-2020-3
5/21/20,The number of global COVID-19 cases surpasses 5 million.,Business Insider,https://www.businessinsider.com/coronavirus-pandemic-timeline-history-major-events-2020-3
6/28/20,"The number of global COVID-19 cases surpass 10 million, and global deaths surpass 500,000.",Business Insider,https://www.businessinsider.com/coronavirus-pandemic-timeline-history-major-events-2020-3
5/21/20,"The U.S. National Park Service said Grand Canyon National Park's South Rim will be open to the public starting May 22 to May 25 for “limited entry and recreational access,” following guidance from the White House, CDC, and state and local public health authorities.",NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341
5/21/20,British-Swedish pharmaceutical company AstraZeneca received more than $1 billion in funding from the U.S. Health Department’s Biomedical Advanced Research and Development Authority to develop a coronavirus vaccine in collaboration with the University of Oxford.,NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341
5/21/20,"Another 2.44 million Americans filed for initial unemployment benefits the week before, bringing the total number of people who lost their job so far during the coronavirus pandemic to almost 40 million.",NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341
5/21/20,"A huge spike in coronavirus cases in the Middle East, where many were observing the Islamic month of Ramadan, led countries to extend and reinforce lockdown measures to prevent its spread during the Eid holiday.",NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341
5/21/20,"Confirmed cases in Pennsylvania surpassed 65,000, as the state’s death toll rose to 4,869.",NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341
5/21/20,"President Trump announced on Twitter that about $300 million was heading to New York's struggling Metropolitan Transit Authority, part of the $3.9 billion that's been allocated for New York under coronavirus stimulus legislation passed by Congress.",NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341
5/21/20,"Amazon confirmed that another warehouse worker died from COVID-19, bringing the total known deaths to eight employees.",NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341
5/21/20,"The number of deaths linked to the coronavirus surpassed 2,000 in Los Angeles County.",NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341
5/21/20,"Brazil recorded another new record for daily coronavirus deaths after 1,188 new fatalities were reported in the past 24 hours. Brazil’s total number of fatalities passed 20,000 and the number of cases nationwide rose to 310,087.",NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341
5/21/20,"The European Union Aviation Safety Agency updated their recommendations for airports and airlines. The new guidelines recommended that all passengers should wear face masks and that access to airport terminals should be limited to only passengers, crew members and staff.",NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341
5/22/20,An experimental coronavirus vaccine under development at the University of Oxford progressed to advanced stages of human trials.,NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341
5/22/20,The Department of Health and Human Services announced that it would begin distributing $4.9 billion in CARES Act funding to nursing homes in an effort to help the hard-hit facilities curb the spread of the coronavirus.,NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341
5/22/20,"A new study published in The Lancet found that hydroxychloroquine, a drug that President Trump said he was taking as a preventive strategy and has publicly touted, does not help COVID-19 patients, and may increase deaths.",NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341
5/22/20,"Two children in Washington State were diagnosed with a rare and potentially deadly COVID-19-linked condition known as Multisystem Inflammatory Syndrome in Children, or MIS-C.",NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341
5/22/20,"President Trump announced that places of worship are ""essential"" and should open over the weekend, a move that threatened to override governors who have ordered churches, synagogues and mosques not to reopen in the coming days.",NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341
5/22/20,"The National Institute of Allergy and Infectious Diseases published long-awaited results of its first study of remdesivir, an antiviral medication that Dr. Anthony Fauci previously said has a ""clear-cut, significant, positive effect"" on patients with COVID-19.",NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341
5/22/20,The Justice Department filed a statement of interest backing a lawsuit challenging the pandemic-related stay at home restrictions in Illinois.,NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341
5/22/20,Rental car company Hertz filed for bankruptcy protection after more than 100 years in the business.,NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341
5/22/20,"New York Gov. Andrew Cuomo signed an executive order allowing groups of 10 people or fewer to congregate. Social distancing, cleaning and disinfection protocols must be followed as required by the state's Department of Health, according to the order.",NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341
5/22/20,Nevada Gov. Steve Sisolak set a tentative June 4 date for reopening the state’s shuttered casinos.,NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341
5/22/20,"Brazil surpassed Russia in total number of confirmed coronavirus cases, according to Johns Hopkins University data. Brazil had 330,890 confirmed cases, making it second in the world behind the U.S., which had 1.6 million cases.",NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341
5/23/20,The Australian state of Queensland postponed work on its bid for the Olympic 2032 Games to focus on the coronavirus outbreak.,NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341
5/23/20,"China reported no new confirmed infections or deaths in the past 24 hours, marking the first time the country registered zero new infections of the virus since they began reporting data in January.",NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341
5/23/20,"South Korea reported 23 new coronavirus cases, mostly from the densely-populated Seoul metropolitan area where authorities had shut down thousands of nightclubs, bars and karaoke rooms in an attempt to stem transmissions.",NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341
5/23/20,Spanish Prime Minister Pedro Sánchez announced plans to reopen the country to international tourists in July.,NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341
5/23/20,"New cases of the coronavirus in India topped 6,000 for a second consecutive day, marking another record jump for the South Asian country in a 24-hour period.",NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341
5/23/20,"President Trump visited his private golf course in Virginia, marking his first time back at one of his private golf courses in 75 days. The visit came as the White House pushed states to lift stay-at-home orders and for the economy to reopen.",NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341
5/23/20,Gov. Andrew Cuomo announced that New York saw the lowest number of daily coronavirus deaths since the state became the epicenter of the virus.,NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341
5/23/20,"An NBA spokesperson said the league was in ""exploratory"" talks with the Walt Disney Co. to possibly restart its season at the Walt Disney World Resort in Florida in late July.",NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341
5/23/20,Former Vice President Joe Biden won Hawaii's Democratic presidential primary in an election that was all vote-by-mail because of the coronavirus pandemic.,NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341
5/23/20,"The U.S. Court of Appeals for the Ninth Circuit upheld California Gov. Gavin Newsom's ban on gatherings at houses of worship, denying an emergency motion that sought to resume in-person services while the case is appealed.",NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341
5/23/20,"More than 100 workers at a Los Angeles-area meat plant tested positive for the coronavirus, the Los Angeles County public health department announced.",NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341
5/24/20,"China confirmed three new COVID-19 cases, just 24 hours after no new cases were reported in the country for the first time since the outbreak began in the central city of Wuhan in December 2019.",NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341
5/24/20,"Thailand reported no new coronavirus cases and no new deaths, maintaining the country’s total of 3,040 confirmed cases and 56 fatalities since the outbreak began in January.",NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341
5/24/20,"A senior adviser to Britain's Prime Minister Boris Johnson faced calls for his resignation after reports that he drove 250 miles to his parents house while his wife showed virus symptoms, breaching lockdown regulations.",NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341
5/24/20,The Vatican announced that the Vatican Museums will reopen on June 1 after a three-month lockdown that had drained the Holy See's finances.,NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341
5/24/20,"Russia reported 153 coronavirus deaths in the past 24 hours, its highest daily toll yet, raising total casualties in the country to 3,541.",NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341
5/24/20,New York Gov. Andrew Cuomo announced that professional sports teams can begin training in the state as coronavirus restrictions start to loosen.,NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341
5/24/20,"Muslims around the world began celebrating Eid al-Fitr, a holiday marking the end of the fasting month of Ramadan, with millions under strict stay-at-home orders.",NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341
5/24/20,The White House announced a travel ban with Brazil that would bar anyone from entering the United States who had been in that country for the prior two weeks.,NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341
5/24/20,Mexican President Andres Manuel Lopez Obrador said the coronavirus could cost as many as 1 million jobs in the country as many industries considered not essential remained shut.,NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341
5/24/20,"The Republican National Committee and other GOP groups filed a lawsuit against California Gov. Gavin Newsom, arguing a move to expand mail-in voting during the pandemic is illegal.",NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341
5/25/20,"Russian health authorities reported 8,946 new confirmed cases of COVID-19, bringing the nationwide total to more than 350,000 cases since the start of the outbreak. Russia had the third highest number of reported cases in the world, behind only the U.S. and Brazil.",NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341
5/25/20,"U.K. Prime Minister Boris Johnson faced rising anger among lawmakers in his own party, bishops and the public at large after he supported an aide who drove hundreds of miles out of London during the lockdown.",NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341
5/25/20,Japanese Prime Minister Shinzo Abe announced plans to lift a state of emergency for Tokyo and four remaining areas but said that it could be reimposed if the pace of infections picked up.,NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341
5/25/20,"Syria reported 20 new coronavirus cases, the country’s largest single-day increase to date.",NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341
5/25/20,Spain’s government announced plans to lift a requirement for foreign tourists to undergo a two-week quarantine beginning July 1.,NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341
5/25/20,League officials announced that Japan’s professional baseball season will begin on June 19 with no fans in attendance.,NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341
5/25/20,"President Trump threatened to move the Republican National Convention from Charlotte, North Carolina, if there is a chance the venue might not be filled there later this summer due to virus-related restrictions.",NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341
5/25/20,"Doctors in Austria announced that they completed a lung transplant on a COVID-19 patient, the first to be done in Europe.",NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341
5/25/20,"Iceland eased its national alert against the coronavirus, allowing for public gatherings of up to 200 people and night clubs and gyms to reopen.",NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341
5/25/20,"President Trump said he had ""just finished"" taking a two-week course of the antimalarial drug hydroxychloroquine, the medication he has vigorously promoted as a preventative or curative treatment for coronavirus, even as evidence piles up that the drug may cause more harm than good.",NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341
5/25/20,"The World Health Organization announced that it was suspending a trial of hydroxychloroquine in treating COVID-19, saying fears of the drug's potential danger is causing it to ""err on the side of caution.""",NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341
5/25/20,"Joe Biden appeared in public for the first time in more than two months, laying a wreath to honor the fallen at a Delaware war memorial on Memorial Day.",NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341
5/25/20,"The NHL announced plans to allow small groups of players, no more than six, to gather for workouts in early June, with an eye toward restarting play and resuming its coronavirus-halted season.",NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341
5/25/20,A second person in U.S. Immigration and Customs Enforcement custody died from COVID-19 complications.,NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341
5/25/20,"The World Health Organization warned that countries where coronavirus infections were declining could still face an ""immediate second peak"" if they let up too soon on measures to halt the outbreak.",NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341
5/25/20,"California's state health department announced that counties can reopen places of worship for religious services, with restrictions that include limiting gatherings to 100 people or less.",NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341
