Date,Event,Source,URL
5/25/20,The U.S. Department of Justice sent a stern letter to Nevada Gov. Steve Sisolak warning that the department had civil rights concerns over the state's ban on gatherings of 10 or more people for religious worship services.,NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341
5/25/20,The Chinese Center for Disease Control and Prevention said that following an investigation of the animals at the Wuhan Seafood Market — where the first cases of COVID-19 were initially reported — it has ruled the site out as the origin of the outbreak.,NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341
5/26/20,"Saudi Arabia announced that it will amend its curfew times and lift a ban on domestic travel, with the exception of the holy city of Mecca starting May 28.",NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341
5/26/20,"Australia’s Prime Minister said that he will not open the country’s borders “anytime soon,” but would continue to discuss the possibility of establishing a safe travel zone with neighboring New Zealand.",NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341
5/26/20,"Russian authorities reported a record 174 COVID-19 fatalities as cases continued to climb at a flat rate nationwide. There were more than 360,000 reported infections in the country.",NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341
5/26/20,"Bethlehem's Church of the Nativity, the traditional birthplace of Jesus, reopened to worshipers and tourists as Palestinian authorities eased coronavirus restrictions in the West Bank.",NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341
5/26/20,The New York Stock Exchange’s famous trading floor partially reopened.,NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341
5/26/20,Italy’s famed archaeological site Pompeii reopened to the public for the first time since the beginning of the country’s lockdown.,NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341
5/26/20,New Jersey Gov. Phil Murphy announced that professional sports teams in the state would be allowed to practice and play in games or matches.,NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341
5/26/20,"Virginia Gov. Ralph Northam said Virginians will be required to wear face coverings ""inside at a public place,” beginning on May 29.",NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341
5/26/20,"The CDC reported that more than 62,000 doctors, nurses and other health care providers on the front lines of the U.S.'s COVID-19 crisis had been infected, and at least 291 had died.",NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341
5/26/20,California gave the green light for hair salons and barber shops to reopen in parts of the state that are seeing fewer coronavirus hospitalizations and deaths.,NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341
5/26/20,Nevada Gov. Steve Sisolak canceled a press briefing after learning of a possible exposure to COVID-19.,NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341
5/26/20,"Los Angeles Mayor Eric Garcetti said customers would be welcome back inside retail businesses, and houses of worship could resume in-person services.",NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341
5/26/20,"Miami Mayor Francis Suarez said the city will allow dine-in eating to resume at restaurants, but with restrictions aimed at slowing the spread of the coronavirus.",NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341
5/26/20,"Sweden’s government defended its response to the COVID-19 global pandemic despite the Scandinavian country reporting one of the highest mortality rates in the world with 4,125 fatalities, or about 40 deaths per 100,000 people.",NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341
5/26/20,Chilean authorities said intensive care units in the country’s hospitals are nearly at capacity amid a flood of coronavirus patients.,NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341
5/26/20,The World Health Organization said the Americas had emerged as the new epicenter of the coronavirus pandemic.,NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341
5/26/20,WHO releases Manifesto for a healthy recovery from COVID-19.,World Health Organization,https://www.who.int/news-room/feature-stories/detail/who-manifesto-for-a-healthy-recovery-from-covid-19
5/27/20,"More than 2 million students returned to school in South Korea, as the country recorded the highest number of new infections in more than a month.",NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341
5/27/20,"The Egyptian Medical Syndicate, the main union for doctors in Egypt, released a statement warning that the country’s health system could “completely collapse” if the government continues to provide inadequate personal protective equipment to health care workers.",NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341
5/27/20,"Boeing announced plans to lay off 6,770 workers, as the coronavirus crisis continued to hammer the aircraft manufacturer.",NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341
5/27/20,A large federal trial of remdesivir entered its next phase to test the effects of combining the antiviral drug with a pill to bring down inflammation.,NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341
5/27/20,"The Walt Disney Company announced plans to begin a phased reopening of some of its Orlando, Florida, parks. Walt Disney World's Magic Kingdom and Animal Kingdom are planning to open July 11. Epcot and Disney's Hollywood Studios are set to open July 15.",NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341
5/27/20,Nevada Gov. Steve Sisolak said he tested negative for coronavirus after possible exposure during a visit to an employment center.,NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341
5/27/20,"The United States surpassed 100,000 coronavirus deaths.",NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341
5/27/20,"Wisconsin saw a record number of new coronavirus cases and deaths reported in a single day, two weeks after the state’s Supreme Court struck down its statewide stay-at-home order.",NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341
5/28/20,"India reported another record single day jump of more than 6,500 cases, bringing the country’s total number of confirmed cases to 158,333, even as the two-month lockdown was due to ease on May 31.",NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341
5/28/20,"South Korea reported its biggest spike in coronavirus cases in more than 50 days, marking a setback after the country won praise for initially bringing its epidemic under control. The resurgent spike of 79 new cases was linked to workers at a massive logistics warehouse in Seoul, operated by a local e-commerce giant.",NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341
5/28/20,"The World Health Organization announced the creation of a foundation for new sources of funding. WHO Director-General Tedros Ghebreyesus said it would ease a potential financial shortage and that funds will go towards all of the agency’s projects, including vaccine research and preparing for future pandemics.",NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341
5/28/20,"Coronavirus cases in Iraq surpassed 5,000, with the vast majority of new cases recorded in Baghdad. The country also reported 175 coronavirus deaths.",NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341
5/28/20,"The coronavirus death toll in Russia passed 4,000. Despite the increasing number of deaths and infections, from June 1 Moscow planned to begin ""Phase 1"" of easing its lockdown, with some non-food stores and businesses re-opening.",NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341
5/28/20,"The Texas Supreme Court blocked an effort by Democrats in the state to expand voting by mail, ruling that lack of immunity to COVID-19 does not qualify a person to apply for a mail-in ballot.",NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341
5/28/20,"Data released by the Department of Labor showed that more than 2.1 million Americans filed for unemployment benefits for the first time last week, the 10th straight week that jobless claims have been in the millions.",NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341
5/28/20,New York Gov. Andrew Cuomo announced that he is signing an executive order authorizing businesses to deny entry to people who do not wear a mask or face covering.,NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341
5/28/20,The Premier League announced that its 2019-20 season will resume on June 17 after a 100-day hiatus due to the coronavirus pandemic.,NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341
5/28/20,"Prime Minister Boris Johnson announced a plan to further relax England’s coronavirus restrictions, allowing some outdoor vendors to reopen and increasing the number of people those in England can meet in parks or private gardens.",NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341
5/28/20,"Chicago Mayor Lori Lightfoot announced that the city will begin reopening on June 3. Child care centers, libraries, hotels, hair salons and barber shops, dentist offices and other health care centers and non-essential retail businesses will be among those allowed to open as long as safety guidelines are followed. Restaurants and coffee shops will be open for outdoor dining only.",NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341
5/28/20,The Boston Athletic Association announced that the Boston Marathon will be held as a virtual event this year.,NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341
5/28/20,"Missouri Gov. Mike Parson delayed rolling out the second phase of the state’s reopening plan, saying the extension would give some communities “more time to prepare.”",NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341
5/28/20,"San Francisco Mayor London Breed announced an order requiring nearly everyone to wear a mask when they're not at home — including runners, people on bicycles and generally anyone who is within 30 feet of another person not in their household.",NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341
5/28/20,"The United Nations confirmed that its annual climate summit, COP 26, will be pushed back to November 2021, delayed by one year, due to the coronavirus pandemic.",NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341
5/28/20,"French Prime Minister Edouard Philippe announced that most restaurants, parks and schools will progressively reopen from June 2, after nearly two months in lockdown.",NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341
5/28/20,"The Philippines saw its highest daily spike in coronavirus cases, but President Rodrigo Duterte pressed ahead with easing one of the world's toughest and longest lockdowns.",NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341
5/29/20,New Zealand celebrated one week without a new coronavirus case in the country.,NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341
5/29/20,"Pakistan’s Civil Aviation Authority said it will allow international flights to resume on May 30, after largely closing its airspace to commercial flights in March to curb the coronavirus outbreak.",NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341
5/29/20,The CDC reported that the coronavirus began quietly spreading in the U.S. as early as late January — before President Trump blocked air travel from China and a full month before community spread was first detected in the country.,NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341
5/29/20,New York Gov. Andrew Cuomo said New York City is on track to begin Phase I reopening on June 8.,NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341
5/29/20,"New Jersey Gov. Phil Murphy announced that he will be signing an executive order allowing child care services, non-contact organized sports, and youth day camps to resume over the next several weeks. Child care centers will be able to reopen on June 15, non-contact sport activities can restart on June 22, and summer programs can begin on July 6, he said.",NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341
5/29/20,"Italy’s government said it will allow inter-regional travel starting on June 3, as the country’s health ministry reported no critical virus infection spikes in any region of the country.",NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341
5/30/20,"Taiwan's government said that it had approved Gilead Sciences' potential COVID-19 treatment, remdesivir, to treat the illness caused by the coronavirus.",NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341
5/30/20,"Government employees in Iran returned to work as President Hassan Rouhani announced that mosques can resume daily prayers throughout the country, even though some areas are seeing high levels of virus infections.",NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341
5/30/20,The European Union called on the U.S. to reconsider the decision to sever ties with the World Health Organization over its handling of the coronavirus pandemic.,NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341
5/30/20,"India registered another record single-day jump of 7,964 virus cases and 265 deaths, a day before the two-month lockdown was set to end. The Health Ministry put the total number of confirmed cases at 173,763 with 4,971 deaths.",NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341
5/30/20,Los Angeles Mayor Eric Garcetti said that all of the city's COVID-19 testing centers were closed as of 3 p.m. local time due to protests in the city.,NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341
5/30/20,The mayor of Colombia’s capital announced plans to shut down one of the city’s largest neighborhoods as cases there continue to rise. Mayor Claudia Lopez said that starting June 1 the working-class Kennedy area of Bogota — home to nearly 1.5 million people — will be under a strict quarantine.,NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341
5/31/20,"As thousands of Americans gathered in cities across the country to protest the in-custody death of George Floyd in Minneapolis, infectious disease experts worried that the large crowds and lack of social distancing could cause catastrophic setbacks for controlling the spread of the coronavirus.",NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341
5/31/20,"Global coronavirus cases surpassed 6 million, according to Johns Hopkins University data, as the death toll worldwide neared 370,000.",NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341
5/31/20,Rwanda's ministry of health reported the East African nation's first death caused by the coronavirus. The country had 359 confirmed cases nationwide.,NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341
5/31/20,"China reported two new cases of COVID-19, bringing its total to 83,001. Both cases were imported ones in the Shandong province, south of Beijing. No new domestic cases had been reported for a week, and the country’s official death toll remained at 4,634.",NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341
5/31/20,"Pope Francis delivered his first address in three months from his window overlooking St. Peter's Square, as Italy's lockdown drew to an end. Francis said that people are more important than the economy, as countries decide how quickly to reopen their countries from coronavirus lockdowns.",NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341
5/31/20,"Florida reported more than 2,100 positive coronavirus cases in two days, bringing the state's total number of cases to 55,424. The state’s death toll as a result of the virus was 2,447.",NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341
5/31/20,"South Korea reported 27 new cases, 21 of which were recorded in the densely-populated Seoul metropolitan area where officials have been working to stem transmissions linked to nightclub-goers and warehouse workers.",NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341
6/1/20,"Russia recorded more than 400,000 total coronavirus infections — with only Brazil and the U.S. recording more — as the epidemic grew in regions outside of Moscow.",NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341
6/1/20,"China said the United States was ""addicted to quitting"" following a U.S. decision to leave the World Health Organization and added that the withdrawal reveals a pursuit of power politics and unilateralism.",NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341
6/1/20,"South Africa began lifting some coronavirus lockdown restrictions as people were allowed to leave home for work, worship or shopping. Schools were due to open, but remained closed following a reversal from the Education Ministry.",NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341
6/1/20,"India's cases of coronavirus surpassed 190,000, overtaking France to become seventh highest in the world, as the government eased back on most restrictions after a two-month-long lockdown that left millions without work.",NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341
6/1/20,"Coronavirus restrictions were eased in many countries from Asia to Europe, even as U.S. protests against police brutality sparked fears of new outbreaks.",NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341
6/1/20,Gilead Sciences Inc. said its antiviral drug remdesivir showed improvement in patients with moderate COVID-19 in a late-stage study.,NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341
6/1/20,Eli Lilly started the first COVID-19 antibody treatment trials in humans. The treatment uses what are known as monoclonal antibodies made from people who were sick with the coronavirus. They are meant to work as natural antibodies do in the body by blocking the virus.,NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341
6/1/20,Spain reported no deaths in a 24-hour period from the new coronavirus for the first time since March.,NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341
6/1/20,The Congressional Budget Office said that the U.S. economy could be $15.7 trillion smaller over the next decade than it otherwise would have been if Congress does not mitigate the economic damage from the coronavirus.,NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341
6/2/20,"As mass protests continued across the U.S., a meta-analysis published in The Lancet found that social distancing is the most effective way to slow the spread of the coronavirus — more so than face coverings and eye protection.",NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341
6/2/20,"Wuhan registered no new asymptomatic infections for the first time following tests of more than 60,000 people, according to the city's municipal health commission.",NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341
6/2/20,"Confirmed coronavirus infections passed the 150,000 mark on the African continent, according to the World Health Organization. The continent’s worst affected nation was South Africa, with 35,000 cases.",NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341
6/2/20,"A report from Public Health England found that black and Asian ethnic minorities in England are up to twice as likely to die after contracting COVID-19 than white British people. People of Chinese, Indian, Pakistani and Caribbean ethnicity were at between 10 percent to 50 percent higher risk of death, the report said.",NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341
6/2/20,"Many British lawmakers returned to parliament after the government put an end to arrangements — in place since April — that allowed them to debate and vote in a ""virtual"" parliament.",NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341
6/2/20,"Reporting by The Associated Press found that China delayed releasing the genetic map, or genome, of the coronavirus for more than a week after three different government labs had fully decoded the information. The AP found considerable frustration among WHO officials over not getting the information they needed early on in the outbreak to fight the spread of the deadly virus.",NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341
6/2/20,"As access to COVID-19 tests ramped up in many areas across the country, some testing sites, from California to Florida, temporarily suspended operations because of violence and protests in recent days.",NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341
6/2/20,"Dr. Francis Collins, director of the National Institutes of Health, said in a blog post on the agency’s site that warmer weather is unlikely to slow or stop the spread of coronavirus.",NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341
6/2/20,"The Senate voted 51-40 to confirm Brian Miller, President Trump's pick to be the special inspector general for pandemic recovery. Miller, who had been working for Trump in the White House Counsel's office, was opposed by most Senate Democrats.",NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341
6/2/20,President Trump said that he will be seeking another state to host the Republican National Convention because the North Carolina Gov. Roy Cooper refused to guarantee that coronavirus restrictions wouldn’t affect the party’s nominating convention.,NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341
6/3/20,"The municipal government in Mudanjiang, a city in Heilongjiang province in northeast China, said it will carry out nucleic acid testing of all of the city's 2.5 million residents. This came after Wuhan, the original center of the pandemic, finished mass testing of its population.",NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341
6/3/20,"An elderly Rohingya man has become the first person to die from COVID-19 in the refugee camps in southern Bangladesh, according to the U.N. Refugee Agency. The death raised fears of a serious outbreak in refugee camps that house over a million Rohingya, a mostly Muslim ethnic minority group that were forced to flee a brutal military crackdown in neighbouring Myanmar.",NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341
6/3/20,"Italy reopened its airports after two months of strict lockdown, allowing Italians to move freely between regions.",NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341
6/3/20,"COVID-19 patients were among 100,000 people evacuated from low-lying areas as a powerful cyclone hit the west-coast Indian states of Maharashtra and Gujarat.",NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341
6/3/20,"Spain’s tourism ministry said it is working on plans to gradually open its borders to tourists from countries deemed more secure in the fight against the coronavirus, possibly starting from June 22.",NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341
6/3/20,"Germany’s Foreign Minister Heiko Maas announced that the country will lift a travel ban for European Union member states, other Schengen countries and the U.K. starting June 15.",NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341
6/3/20,"The Department of Transportation said in a statement that it plans to ban Chinese carriers from flying passengers to the U.S, after Beijing declined to increase the number of flights it allows to the United States.",NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341
6/3/20,"The Director-General of the World Health Organization said in a news briefing that the spread of COVID-19 is still escalating globally, with more than 100,000 cases reported for each of the past five days, but new cases in Europe continue to decline.",NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341
6/3/20,"Organizers of the country’s largest annual technology trade show, CES, said the convention is still on track to be held in Las Vegas in January. The group said it will expand its selection of livestreamed CES content and roll out new cleaning and social distancing practices.",NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341
6/3/20,"Two Yomuiri Giants players tested positive for coronavirus, forcing the famed Japanese baseball team to cancel a preseason game.",NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341
6/3/20,New research from the University of Minnesota Medical School found that hydroxychloroquine was no better than a placebo at preventing symptoms of COVID-19 among people exposed to the virus.,NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341
6/3/20,"An autopsy found that George Floyd, who died during an arrest in Minneapolis on May 25, had coronavirus.",NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341
6/3/20,"The GOP-controlled Senate unanimously passed a bill that seeks to fix the Paycheck Protection Program, which provides direct relief to small businesses amid the coronavirus pandemic.",NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341
6/4/20,Spain’s tourism minister Reyes Maroto announced that the country's land borders with neighbors France and Portugal will be reopened June 22.,NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341
6/4/20,"Israel's Parliament, the Knesset, was suspended after a lawmaker confirmed he had tested positive for the coronavirus. All 120 lawmakers and Knesset staff were told to stay at home.",NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341
6/4/20,"Authorities in Norway turned down applications to hold rallies in the country’s three largest cities in support of protesters in the U.S. over the death of George Floyd, citing the coronavirus restrictions on gatherings.",NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341
6/4/20,"New figures from the Department of Labor showed that around 1.8 million Americans filed for first-time jobless benefits last week, hinting that the worst could be over for the labor market.",NBC News,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341
